FamId	ExternalId	IntSampleId
CHQ1040	CHQ1040-01	JS 7503
CHQ1040	CHQ1040-02	JS 7504
CHQ1040	CHQ1040-03	JS 7505
CHQ1041	CHQ1041-01	JS 7506
CHQ1041	CHQ1041-02	JS 7507
CHQ1041	CHQ1041-03	JS 7508
CHQ1041	CHQ1041-04	JS 7509
CHQ1042	CHQ1042-01	JS 7510
CHQ1042	CHQ1042-02	JS 7511
CHQ1042	CHQ1042-03	JS 7512
CHQ1043	CHQ1043-01	JS 7513
CHQ1043	CHQ1043-02	JS 7514
CHQ1043	CHQ1043-03	JS 7515
CHQ1044	CHQ1044-01	JS 7516
CHQ1044	CHQ1044-02	JS 7517
CHQ1044	CHQ1044-03	JS 7518
CHQ1045	CHQ1045-01	JS 7519
CHQ1045	CHQ1045-02	JS 7520
CHQ1045	CHQ1045-03	JS 7521
CHQ1046	CHQ1046-01	JS 7522
CHQ1046	CHQ1046-02	JS 7523
CHQ1046	CHQ1046-03	JS 7524
CHQ1047	CHQ1047-01	JS 7525
CHQ1047	CHQ1047-02	JS 7526
CHQ1047	CHQ1047-03	JS 7527
CHQ1048	CHQ1048-01	JS 7528
CHQ1048	CHQ1048-02	JS 7529
CHQ1048	CHQ1048-03	JS 7530
CHQ1049	CHQ1049-01	JS 7531
CHQ1049	CHQ1049-02	JS 7532
CHQ1049	CHQ1049-03	JS 7533
JGH011	JGH011-01	JS 7534
JGH011	JGH011-02	JS 7535
JGH011	JGH011-03	JS 7536
JGH012	JGH012-01	JS 7537
JGH012	JGH012-02	JS 7538
JGH012	JGH012-03	JS 7539
JGH013	JGH013-01	JS 7540
JGH013	JGH013-02	JS 7541
JGH013	JGH013-03	JS 7542
JGH014	JGH014-01	JS 7543
JGH014	JGH014-02	JS 7544
JGH014	JGH014-03	JS 7545
JGH015	JGH015-01	JS 7546
JGH015	JGH015-02	JS 7547
JGH015	JGH015-03	JS 7548
JGH015	JGH015-04	JS 7549
JGH015	JGH015-05	JS 7550
JGH016	JGH016-01	JS 7551
JGH016	JGH016-02	JS 7552
JGH016	JGH016-03	JS 7553
JGH018	JGH018-01	JS 7554
JGH018	JGH018-02	JS 7555
JGH018	JGH018-03	JS 7556
JGH019	JGH019-01	JS 7557
JGH019	JGH019-02	JS 7558
JGH019	JGH019-03	JS 7559
JGH020	JGH020-01	JS 7560
JGH020	JGH020-02	JS 7561
JGH020	JGH020-03	JS 7562
JGH020	JGH020-04	JS 7563
JGH021	JGH021-01	JS 7564
JGH021	JGH021-02	JS 7565
JGH021	JGH021-03	JS 7566
JGH022	JGH022-01	JS 7567
JGH022	JGH022-02	JS 7568
JGH022	JGH022-03	JS 7569
JGH022	JGH022-04	JS 7570
JGH023	JGH023-01	JS 7571
JGH023	JGH023-02	JS 7572
JGH023	JGH023-03	JS 7573
JGH023	JGH023-04	JS 7574
JGH024	JGH024-01	JS 7575
JGH024	JGH024-02	JS 7576
JGH024	JGH024-03	JS 7577
JGH025	JGH025-01	JS 7578
JGH025	JGH025-02	JS 7579
JGH025	JGH025-03	JS 7580
JGH025	JGH025-04	JS 7581
JGH026	JGH026-01	JS 7582
JGH026	JGH026-02	JS 7583
JGH026	JGH026-03	JS 7584
JGH026	JGH026-04	JS 7585
JGH027	JGH027-01	JS 7586
JGH027	JGH027-02	JS 7587
JGH027	JGH027-03	JS 7588
JGH028	JGH028-02	JS 7589
JGH028	JGH028-03	JS 7590
JGH028	JGH028-04	JS 7591
JGH030	JGH030-01	JS 7592
JGH030	JGH030-02	JS 7593
JGH030	JGH030-03	JS 7594
JGH030	JGH030-04	JS 7595
JGH031	JGH031-01	JS 7596
JGH031	JGH031-02	JS 7597
JGH031	JGH031-03	JS 7598
JGH032	JGH032-01	JS 7599
JGH032	JGH032-02	JS 7600
JGH032	JGH032-03	JS 7601
JGH035	JGH035-01	JS 7602
JGH035	JGH035-02	JS 7603
JGH035	JGH035-03	JS 7604
JGH035	JGH035-04	JS 7605
JGH036	JGH036-01	JS 7606
JGH036	JGH036-02	JS 7607
JGH036	JGH036-03	JS 7608
JGH036	JGH036-04	JS 7609
JGH300	JGH300-01	JS 7610
JGH300	JGH300-02	JS 7611
JGH300	JGH300-03	JS 7612
JGH301	JGH301-01	JS 7613
JGH301	JGH301-02	JS 7614
JGH301	JGH301-03	JS 7615
JGH302	JGH302-01	JS 7616
JGH302	JGH302-02	JS 7617
JGH302	JGH302-03	JS 7618
JGH303	JGH303-01	JS 7619
JGH303	JGH303-02	JS 7620
JGH303	JGH303-03	JS 7621
JGH304	JGH304-01	JS 7622
JGH304	JGH304-02	JS 7623
JGH304	JGH304-03	JS 7624
JGH306	JGH306-01	JS 7625
JGH306	JGH306-02	JS 7626
JGH306	JGH306-03	JS 7627
JGH307	JGH307-01	JS 7628
JGH307	JGH307-02	JS 7629
JGH307	JGH307-03	JS 7630
JGH308	JGH308-01	JS 7631
JGH308	JGH308-02	JS 7632
JGH308	JGH308-03	JS 7633
JGH310	JGH310-01	JS 7634
JGH310	JGH310-02	JS 7635
JGH310	JGH310-03	JS 7636
JGH311	JGH311-01	JS 7637
JGH311	JGH311-02	JS 7638
JGH311	JGH311-03	JS 7639
JGH312	JGH312-01	JS 7640
JGH312	JGH312-02	JS 7641
JGH312	JGH312-03	JS 7642
JGH313	JGH313-01	JS 7643
JGH313	JGH313-02	JS 7644
JGH313	JGH313-03	JS 7645
JGH315	JGH315-01	JS 7646
JGH315	JGH315-02	JS 7647
JGH315	JGH315-03	JS 7648
JGH317	JGH317-01	JS 7649
JGH317	JGH317-02	JS 7650
JGH317	JGH317-03	JS 7651
JGH318	JGH318-01	JS 7652
JGH318	JGH318-02	JS 7653
JGH318	JGH318-03	JS 7654
JGH319	JGH319-01	JS 7655
JGH319	JGH319-02	JS 7656
JGH319	JGH319-03	JS 7657
JGH320	JGH320-01	JS 7658
JGH320	JGH320-02	JS 7659
JGH320	JGH320-03	JS 7660
JGH321	JGH321-01	JS 7661
JGH321	JGH321-02	JS 7662
JGH321	JGH321-03	JS 7663
JGH322	JGH322-01	JS 7664
JGH322	JGH322-02	JS 7665
JGH322	JGH322-03	JS 7666
JGH323	JGH323-01	JS 7667
JGH323	JGH323-02	JS 7668
JGH323	JGH323-03	JS 7669
JGH324	JGH324-01	JS 7670
JGH324	JGH324-02	JS 7671
JGH324	JGH324-03	JS 7672
JGH325	JGH325-01	JS 7673
JGH325	JGH325-02	JS 7674
JGH325	JGH325-03	JS 7675
