id	time	od
JS184	 Sep.01,2004 	635
JS190	 Sep.01,2004 	937
JS191	 Sep.01,2004 	633
JS211	 Sep.01,2004 	218
JS212	 Sep.01,2004 	639
JS213	 Sep.01,2004 	447
JS229	 Sep.01,2004 	906
JS230	 Sep.01,2004 	450
JS250	 Sep.01,2004 	665
JS251	 Sep.01,2004 	1073
JS252	 Sep.01,2004 	1081
JS264	 Sep.01,2004 	703
JS279	 Sep.01,2004 	806
JS311	 Sep.01,2004 	655
JS334	 Sep.01,2004 	470
JS335	 Sep.01,2004 	428
JS347	 Sep.01,2004 	193
JS354	 Sep.01,2004 	559
JS358	 Sep.01,2004 	885
JS364	 Sep.01,2004 	872
JS368	 Sep.01,2004 	401
JS389	 Sep.01,2004 	695
JS392	 Sep.01,2004 	261
JS395	 Sep.01,2004 	335
JS400	 Sep.01,2004 	272
JS418	 Sep.01,2004 	576
JS419	 Sep.01,2004 	387
JS424	 Sep.01,2004 	403
JS425	 Sep.01,2004 	1208
JS436	 Sep.01,2004 	937
JS440	 Sep.01,2004 	451
JS444	 Sep.01,2004 	368
JS466	 Sep.01,2004 	365
JS478	 Sep.01,2004 	388
JS480	 Sep.01,2004 	225
JS483	 Sep.01,2004 	615
JS484	 Sep.01,2004 	600
JS505	 Sep.01,2004 	714
JS509	 Sep.01,2004 	469
JS513	 Sep.01,2004 	115
JS520	 Sep.01,2004 	227
JS521	 Sep.01,2004 	269
JS525	 Sep.01,2004 	553
JS543	 Sep.01,2004 	255
JS552	 Sep.01,2004 	875
JS582	 Sep.01,2004 	368
JS591	 Sep.01,2004 	979
JS598	 Sep.01,2004 	375
JS600	 Sep.01,2004 	582
JS615	 Sep.01,2004 	439
JS617	 Sep.01,2004 	607
JS619	 Sep.01,2004 	816
JS623	 Sep.01,2004 	704
JS641	 Sep.01,2004 	458
JS665	 Sep.01,2004 	968
JS671	 Sep.01,2004 	1154
JS692	 Sep.01,2004 	562
JS705	 Sep.01,2004 	675
JS717	 Sep.01,2004 	328
JS728	 Sep.01,2004 	988
JS730	 Sep.01,2004 	585
JS759	 Sep.01,2004 	243
JS773	 Sep.01,2004 	447
JS851	 Sep.01,2004 	490
JS859	 Sep.01,2004 	488
JS872	 Sep.01,2004 	322
JS920	 Sep.01,2004 	431
JS925	 Sep.01,2004 	505
JS955	 Sep.01,2004 	684
JS974	 Sep.01,2004 	231
JS1032	 Sep.01,2004 	253
JS1043	 Sep.01,2004 	568
JS1044	 Sep.01,2004 	215
JS1049	 Sep.01,2004 	722
JS1056	 Sep.01,2004 	465
JS1060	 Sep.01,2004 	427
JS1062	 Sep.01,2004 	995
JS1087	 Sep.01,2004 	318
JS1115	 Sep.01,2004 	948
JS1154	 Sep.01,2004 	1395
JS1197	 Sep.01,2004 	642
JS1255	 Sep.01,2004 	603
JS1676	 Sep.01,2004 	264
JS1774	 Sep.01,2004 	1700
JS2005	 Sep.01,2004 	358
