INFO - 15:56:32 | Root WebApplicationContext: initialization started
INFO - 15:56:32 | Loading XML bean definitions from ServletContext resource [/WEB-INF/applicationContext.xml]
DEBUG - 15:56:32 | Using JAXP implementation [org.apache.xerces.jaxp.DocumentBuilderFactoryImpl@15428dd]
DEBUG - 15:56:32 | Trying to resolve XML entity with public ID [-//SPRING//DTD BEAN//EN] and system ID [http://www.springframework.org/dtd/spring-beans.dtd]
DEBUG - 15:56:32 | Trying to locate [spring-beans.dtd] under [/org/springframework/beans/factory/xml/]
DEBUG - 15:56:32 | Found beans DTD [http://www.springframework.org/dtd/spring-beans.dtd] in classpath
DEBUG - 15:56:32 | Loading bean definitions
DEBUG - 15:56:32 | Default lazy init 'false'
DEBUG - 15:56:32 | Default dependency check 'none'
DEBUG - 15:56:32 | Default autowire 'no'
DEBUG - 15:56:32 | No XML 'id' specified - using 'openSessionInViewInterceptor' as bean name and [] as aliases
DEBUG - 15:56:33 | Found 47 <bean> elements defining beans
INFO - 15:56:33 | Bean factory for application context [org.springframework.web.context.support.XmlWebApplicationContext;hashCode=7216620]: org.springframework.beans.factory.support.DefaultListableBeanFactory defining beans [dataSource,sessionFactory,transactionManager,urlMapping,openSessionInViewInterceptor,dbManagerTarget,dbManager,projectManagerTarget,projectManager,sampleManagerTarget,sampleManager,containerManagerTarget,containerManager,agtcManagerTarget,agtcManager,testManagerTarget,testManager,assayDAO,investigatorDAO,sampleTypeDAO,containerTypeDAO,instrumentDAO,locationDAO,reagentDAO,projectDAO,userDAO,userRoleDAO,testDAO,resultDAO,sampleDAO,containerDAO,runDAO,cggStudyGroupDAO,samplesInContainerDAO,updateResultToCGGDAO,samplePrefixDAO,patientDAO,operatorList,projectSearchFields,sampleSearchFields,containerSearchFields,testSearchFields,assaySearchFields,resultSearchFields,runSearchFields,reagentSearchFields,idListResolver]; root of BeanFactory hierarchy
INFO - 15:56:33 | 47 beans defined in application context [org.springframework.web.context.support.XmlWebApplicationContext;hashCode=7216620]
INFO - 15:56:33 | JDK 1.4+ collections available
INFO - 15:56:33 | Commons Collections 3.x available
DEBUG - 15:56:33 | Creating java.util.LinkedHashMap
DEBUG - 15:56:33 | Creating java.util.LinkedHashMap
INFO - 15:56:33 | Unable to locate MessageSource with name 'messageSource': using default [org.springframework.context.support.DelegatingMessageSource@13b9fae]
INFO - 15:56:33 | Unable to locate ApplicationEventMulticaster with name 'applicationEventMulticaster': using default [org.springframework.context.event.SimpleApplicationEventMulticaster@2f356f]
INFO - 15:56:33 | No ThemeSource found for [org.springframework.web.context.support.XmlWebApplicationContext;hashCode=7216620]: using ResourceBundleThemeSource
DEBUG - 15:56:33 | Refreshing listeners
DEBUG - 15:56:33 | Creating java.util.LinkedHashMap
DEBUG - 15:56:33 | Found 0 listeners in bean factory
INFO - 15:56:33 | Pre-instantiating singletons in factory [org.springframework.beans.factory.support.DefaultListableBeanFactory defining beans [dataSource,sessionFactory,transactionManager,urlMapping,openSessionInViewInterceptor,dbManagerTarget,dbManager,projectManagerTarget,projectManager,sampleManagerTarget,sampleManager,containerManagerTarget,containerManager,agtcManagerTarget,agtcManager,testManagerTarget,testManager,assayDAO,investigatorDAO,sampleTypeDAO,containerTypeDAO,instrumentDAO,locationDAO,reagentDAO,projectDAO,userDAO,userRoleDAO,testDAO,resultDAO,sampleDAO,containerDAO,runDAO,cggStudyGroupDAO,samplesInContainerDAO,updateResultToCGGDAO,samplePrefixDAO,patientDAO,operatorList,projectSearchFields,sampleSearchFields,containerSearchFields,testSearchFields,assaySearchFields,resultSearchFields,runSearchFields,reagentSearchFields,idListResolver]; root of BeanFactory hierarchy]
INFO - 15:56:33 | Creating shared instance of singleton bean 'dataSource'
DEBUG - 15:56:33 | Creating instance of bean 'dataSource' with merged definition [Root bean with class [org.springframework.jdbc.datasource.DriverManagerDataSource] defined in ServletContext resource [/WEB-INF/applicationContext.xml]]
DEBUG - 15:56:33 | Invoking BeanPostProcessors before instantiaion of bean 'dataSource'
DEBUG - 15:56:34 | Getting BeanInfo for class [org.springframework.jdbc.datasource.DriverManagerDataSource]
DEBUG - 15:56:34 | Caching PropertyDescriptors for class [org.springframework.jdbc.datasource.DriverManagerDataSource]
DEBUG - 15:56:34 | Found property 'class' of type [java.lang.Class]
DEBUG - 15:56:34 | Found property 'connection' of type [java.sql.Connection]
DEBUG - 15:56:34 | Found property 'driverClassName' of type [java.lang.String]
DEBUG - 15:56:34 | Found property 'logWriter' of type [java.io.PrintWriter]
DEBUG - 15:56:34 | Found property 'loginTimeout' of type [int]
DEBUG - 15:56:34 | Found property 'password' of type [java.lang.String]
DEBUG - 15:56:34 | Found property 'url' of type [java.lang.String]
DEBUG - 15:56:34 | Found property 'username' of type [java.lang.String]
DEBUG - 15:56:34 | Class [org.springframework.jdbc.datasource.DriverManagerDataSource] is cache-safe
DEBUG - 15:56:34 | About to invoke write method [public void org.springframework.jdbc.datasource.DriverManagerDataSource.setDriverClassName(java.lang.String) throws org.springframework.jdbc.CannotGetJdbcConnectionException] on object of class [org.springframework.jdbc.datasource.DriverManagerDataSource]
INFO - 15:56:34 | Loaded JDBC driver: oracle.jdbc.driver.OracleDriver
DEBUG - 15:56:34 | Invoked write method [public void org.springframework.jdbc.datasource.DriverManagerDataSource.setDriverClassName(java.lang.String) throws org.springframework.jdbc.CannotGetJdbcConnectionException] with value [oracle.jdbc.driver.OracleDriver]
DEBUG - 15:56:34 | About to invoke write method [public void org.springframework.jdbc.datasource.DriverManagerDataSource.setUrl(java.lang.String)] on object of class [org.springframework.jdbc.datasource.DriverManagerDataSource]
DEBUG - 15:56:34 | Invoked write method [public void org.springframework.jdbc.datasource.DriverManagerDataSource.setUrl(java.lang.String)] with value [jdbc:oracle:thin:@Neptune:1521:ORCL]
DEBUG - 15:56:34 | About to invoke write method [public void org.springframework.jdbc.datasource.DriverManagerDataSource.setUsername(java.lang.String)] on object of class [org.springframework.jdbc.datasource.DriverManagerDataSource]
DEBUG - 15:56:34 | Invoked write method [public void org.springframework.jdbc.datasource.DriverManagerDataSource.setUsername(java.lang.String)] with value [strack]
DEBUG - 15:56:34 | About to invoke write method [public void org.springframework.jdbc.datasource.DriverManagerDataSource.setPassword(java.lang.String)] on object of class [org.springframework.jdbc.datasource.DriverManagerDataSource]
DEBUG - 15:56:34 | Invoked write method [public void org.springframework.jdbc.datasource.DriverManagerDataSource.setPassword(java.lang.String)] with value [s!8132]
DEBUG - 15:56:34 | Invoking BeanPostProcessors before initialization of bean 'dataSource'
DEBUG - 15:56:34 | Invoking BeanPostProcessors after initialization of bean 'dataSource'
INFO - 15:56:34 | Creating shared instance of singleton bean 'sessionFactory'
DEBUG - 15:56:34 | Creating instance of bean 'sessionFactory' with merged definition [Root bean with class [org.springframework.orm.hibernate3.LocalSessionFactoryBean] defined in ServletContext resource [/WEB-INF/applicationContext.xml]]
DEBUG - 15:56:34 | Invoking BeanPostProcessors before instantiaion of bean 'sessionFactory'
DEBUG - 15:56:35 | Getting BeanInfo for class [org.springframework.orm.hibernate3.LocalSessionFactoryBean]
DEBUG - 15:56:35 | Caching PropertyDescriptors for class [org.springframework.orm.hibernate3.LocalSessionFactoryBean]
DEBUG - 15:56:35 | Found property 'class' of type [java.lang.Class]
DEBUG - 15:56:35 | Found property 'configLocation' of type [org.springframework.core.io.Resource]
DEBUG - 15:56:35 | Found property 'configuration' of type [org.hibernate.cfg.Configuration]
DEBUG - 15:56:35 | Found property 'configurationClass' of type [java.lang.Class]
DEBUG - 15:56:35 | Found property 'dataSource' of type [javax.sql.DataSource]
DEBUG - 15:56:35 | Found property 'entityInterceptor' of type [org.hibernate.Interceptor]
DEBUG - 15:56:35 | Found property 'hibernateProperties' of type [java.util.Properties]
DEBUG - 15:56:35 | Found property 'jtaTransactionManager' of type [javax.transaction.TransactionManager]
DEBUG - 15:56:35 | Found property 'lobHandler' of type [org.springframework.jdbc.support.lob.LobHandler]
DEBUG - 15:56:35 | Found property 'mappingDirectoryLocations' of type [[Lorg.springframework.core.io.Resource;]
DEBUG - 15:56:35 | Found property 'mappingJarLocations' of type [[Lorg.springframework.core.io.Resource;]
DEBUG - 15:56:35 | Found property 'mappingLocations' of type [[Lorg.springframework.core.io.Resource;]
DEBUG - 15:56:35 | Found property 'mappingResources' of type [[Ljava.lang.String;]
DEBUG - 15:56:35 | Found property 'namingStrategy' of type [org.hibernate.cfg.NamingStrategy]
DEBUG - 15:56:35 | Found property 'object' of type [java.lang.Object]
DEBUG - 15:56:35 | Found property 'objectType' of type [java.lang.Class]
DEBUG - 15:56:35 | Found property 'schemaUpdate' of type [boolean]
DEBUG - 15:56:35 | Found property 'singleton' of type [boolean]
DEBUG - 15:56:35 | Found property 'useTransactionAwareDataSource' of type [boolean]
DEBUG - 15:56:35 | Class [org.springframework.orm.hibernate3.LocalSessionFactoryBean] is cache-safe
DEBUG - 15:56:35 | Resolving reference from property 'dataSource' in bean 'sessionFactory' to bean 'dataSource'
DEBUG - 15:56:35 | Returning cached instance of singleton bean 'dataSource'
DEBUG - 15:56:35 | About to invoke write method [public void org.springframework.orm.hibernate3.LocalSessionFactoryBean.setDataSource(javax.sql.DataSource)] on object of class [org.springframework.orm.hibernate3.LocalSessionFactoryBean]
DEBUG - 15:56:35 | Invoked write method [public void org.springframework.orm.hibernate3.LocalSessionFactoryBean.setDataSource(javax.sql.DataSource)] with value of type [javax.sql.DataSource]
DEBUG - 15:56:35 | About to invoke write method [public void org.springframework.orm.hibernate3.LocalSessionFactoryBean.setMappingResources(java.lang.String[])] on object of class [org.springframework.orm.hibernate3.LocalSessionFactoryBean]
DEBUG - 15:56:35 | Invoked write method [public void org.springframework.orm.hibernate3.LocalSessionFactoryBean.setMappingResources(java.lang.String[])] with value [[Ljava.lang.String;@1bf7b23]
DEBUG - 15:56:35 | About to invoke write method [public void org.springframework.orm.hibernate3.LocalSessionFactoryBean.setHibernateProperties(java.util.Properties)] on object of class [org.springframework.orm.hibernate3.LocalSessionFactoryBean]
DEBUG - 15:56:35 | Invoked write method [public void org.springframework.orm.hibernate3.LocalSessionFactoryBean.setHibernateProperties(java.util.Properties)] with value of type [java.util.Properties]
DEBUG - 15:56:35 | Invoking BeanPostProcessors before initialization of bean 'sessionFactory'
DEBUG - 15:56:35 | Invoking afterPropertiesSet() on bean with beanName 'sessionFactory'
INFO - 15:56:40 | Building new Hibernate SessionFactory
DEBUG - 15:56:43 | Creating new JDBC connection to [jdbc:oracle:thin:@Neptune:1521:ORCL]
DEBUG - 15:56:50 | Invoking BeanPostProcessors after initialization of bean 'sessionFactory'
DEBUG - 15:56:50 | Calling code asked for FactoryBean instance for name 'sessionFactory'
DEBUG - 15:56:50 | Returning cached instance of singleton bean 'sessionFactory'
DEBUG - 15:56:50 | Bean with name 'sessionFactory' is a factory bean
INFO - 15:56:50 | Creating shared instance of singleton bean 'transactionManager'
DEBUG - 15:56:50 | Creating instance of bean 'transactionManager' with merged definition [Root bean with class [org.springframework.orm.hibernate3.HibernateTransactionManager] defined in ServletContext resource [/WEB-INF/applicationContext.xml]]
DEBUG - 15:56:50 | Invoking BeanPostProcessors before instantiaion of bean 'transactionManager'
DEBUG - 15:56:50 | Getting BeanInfo for class [org.springframework.orm.hibernate3.HibernateTransactionManager]
DEBUG - 15:56:50 | Caching PropertyDescriptors for class [org.springframework.orm.hibernate3.HibernateTransactionManager]
DEBUG - 15:56:50 | Found property 'autodetectDataSource' of type [boolean]
DEBUG - 15:56:50 | Found property 'beanFactory' of type [org.springframework.beans.factory.BeanFactory]
DEBUG - 15:56:50 | Found property 'class' of type [java.lang.Class]
DEBUG - 15:56:50 | Found property 'dataSource' of type [javax.sql.DataSource]
DEBUG - 15:56:50 | Found property 'entityInterceptor' of type [org.hibernate.Interceptor]
DEBUG - 15:56:50 | Found property 'entityInterceptorBeanName' of type [java.lang.String]
DEBUG - 15:56:50 | Found property 'jdbcExceptionTranslator' of type [org.springframework.jdbc.support.SQLExceptionTranslator]
DEBUG - 15:56:50 | Found property 'nestedTransactionAllowed' of type [boolean]
DEBUG - 15:56:50 | Found property 'rollbackOnCommitFailure' of type [boolean]
DEBUG - 15:56:50 | Found property 'sessionFactory' of type [org.hibernate.SessionFactory]
DEBUG - 15:56:50 | Found property 'transactionSynchronization' of type [int]
DEBUG - 15:56:50 | Found property 'transactionSynchronizationName' of type [java.lang.String]
DEBUG - 15:56:50 | Class [org.springframework.orm.hibernate3.HibernateTransactionManager] is cache-safe
DEBUG - 15:56:50 | Resolving reference from property 'sessionFactory' in bean 'transactionManager' to bean 'sessionFactory'
DEBUG - 15:56:50 | Returning cached instance of singleton bean 'sessionFactory'
DEBUG - 15:56:50 | Bean with name 'sessionFactory' is a factory bean
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.orm.hibernate3.HibernateTransactionManager.setSessionFactory(org.hibernate.SessionFactory)] on object of class [org.springframework.orm.hibernate3.HibernateTransactionManager]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.orm.hibernate3.HibernateTransactionManager.setSessionFactory(org.hibernate.SessionFactory)] with value of type [org.hibernate.SessionFactory]
DEBUG - 15:56:50 | Invoking setBeanFactory on BeanFactoryAware bean 'transactionManager'
DEBUG - 15:56:50 | Invoking BeanPostProcessors before initialization of bean 'transactionManager'
DEBUG - 15:56:50 | Invoking afterPropertiesSet() on bean with beanName 'transactionManager'
INFO - 15:56:50 | Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
DEBUG - 15:56:50 | Using JAXP implementation [org.apache.xerces.jaxp.DocumentBuilderFactoryImpl@1898115]
DEBUG - 15:56:50 | Trying to resolve XML entity with public ID [-//SPRING//DTD BEAN//EN] and system ID [http://www.springframework.org/dtd/spring-beans.dtd]
DEBUG - 15:56:50 | Trying to locate [spring-beans.dtd] under [/org/springframework/beans/factory/xml/]
DEBUG - 15:56:50 | Found beans DTD [http://www.springframework.org/dtd/spring-beans.dtd] in classpath
DEBUG - 15:56:50 | Loading bean definitions
DEBUG - 15:56:50 | Default lazy init 'false'
DEBUG - 15:56:50 | Default dependency check 'none'
DEBUG - 15:56:50 | Default autowire 'no'
DEBUG - 15:56:50 | Found 8 <bean> elements defining beans
DEBUG - 15:56:50 | Creating java.util.LinkedHashMap
INFO - 15:56:50 | Creating shared instance of singleton bean 'DB2'
DEBUG - 15:56:50 | Creating instance of bean 'DB2' with merged definition [Root bean with class [org.springframework.jdbc.support.SQLErrorCodes] defined in class path resource [org/springframework/jdbc/support/sql-error-codes.xml]]
DEBUG - 15:56:50 | Invoking BeanPostProcessors before instantiaion of bean 'DB2'
DEBUG - 15:56:50 | Getting BeanInfo for class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Caching PropertyDescriptors for class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Found property 'badSqlGrammarCodes' of type [[Ljava.lang.String;]
DEBUG - 15:56:50 | Found property 'cannotAcquireLockCodes' of type [[Ljava.lang.String;]
DEBUG - 15:56:50 | Found property 'cannotSerializeTransactionCodes' of type [[Ljava.lang.String;]
DEBUG - 15:56:50 | Found property 'class' of type [java.lang.Class]
DEBUG - 15:56:50 | Found property 'customTranslations' of type [[Lorg.springframework.jdbc.support.CustomSQLErrorCodesTranslation;]
DEBUG - 15:56:50 | Found property 'dataAccessResourceFailureCodes' of type [[Ljava.lang.String;]
DEBUG - 15:56:50 | Found property 'dataIntegrityViolationCodes' of type [[Ljava.lang.String;]
DEBUG - 15:56:50 | Found property 'databaseProductName' of type [java.lang.String]
DEBUG - 15:56:50 | Found property 'databaseProductNames' of type [[Ljava.lang.String;]
DEBUG - 15:56:50 | Found property 'deadlockLoserCodes' of type [[Ljava.lang.String;]
DEBUG - 15:56:50 | Found property 'invalidResultSetAccessCodes' of type [[Ljava.lang.String;]
DEBUG - 15:56:50 | Found property 'useSqlStateForTranslation' of type [boolean]
DEBUG - 15:56:50 | Class [org.springframework.jdbc.support.SQLErrorCodes] is cache-safe
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDatabaseProductName(java.lang.String)] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDatabaseProductName(java.lang.String)] with value [DB2*]
DEBUG - 15:56:50 | Converting String to [class [Ljava.lang.String;] using property editor [org.springframework.beans.propertyeditors.StringArrayPropertyEditor@d0f59e]
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setBadSqlGrammarCodes(java.lang.String[])] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.jdbc.support.SQLErrorCodes.setBadSqlGrammarCodes(java.lang.String[])] with value [[Ljava.lang.String;@ad5fab]
DEBUG - 15:56:50 | Converting String to [class [Ljava.lang.String;] using property editor [org.springframework.beans.propertyeditors.StringArrayPropertyEditor@d0f59e]
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDataIntegrityViolationCodes(java.lang.String[])] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDataIntegrityViolationCodes(java.lang.String[])] with value [[Ljava.lang.String;@63f09e]
DEBUG - 15:56:50 | Invoking BeanPostProcessors before initialization of bean 'DB2'
DEBUG - 15:56:50 | Invoking BeanPostProcessors after initialization of bean 'DB2'
INFO - 15:56:50 | Creating shared instance of singleton bean 'HSQL'
DEBUG - 15:56:50 | Creating instance of bean 'HSQL' with merged definition [Root bean with class [org.springframework.jdbc.support.SQLErrorCodes] defined in class path resource [org/springframework/jdbc/support/sql-error-codes.xml]]
DEBUG - 15:56:50 | Invoking BeanPostProcessors before instantiaion of bean 'HSQL'
DEBUG - 15:56:50 | Using cached introspection results for class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDatabaseProductName(java.lang.String)] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDatabaseProductName(java.lang.String)] with value [HSQL Database Engine]
DEBUG - 15:56:50 | Converting String to [class [Ljava.lang.String;] using property editor [org.springframework.beans.propertyeditors.StringArrayPropertyEditor@14a55e5]
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setBadSqlGrammarCodes(java.lang.String[])] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.jdbc.support.SQLErrorCodes.setBadSqlGrammarCodes(java.lang.String[])] with value [[Ljava.lang.String;@14d581b]
DEBUG - 15:56:50 | Converting String to [class [Ljava.lang.String;] using property editor [org.springframework.beans.propertyeditors.StringArrayPropertyEditor@14a55e5]
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDataIntegrityViolationCodes(java.lang.String[])] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDataIntegrityViolationCodes(java.lang.String[])] with value [[Ljava.lang.String;@d36ff3]
DEBUG - 15:56:50 | Invoking BeanPostProcessors before initialization of bean 'HSQL'
DEBUG - 15:56:50 | Invoking BeanPostProcessors after initialization of bean 'HSQL'
INFO - 15:56:50 | Creating shared instance of singleton bean 'MS-SQL'
DEBUG - 15:56:50 | Creating instance of bean 'MS-SQL' with merged definition [Root bean with class [org.springframework.jdbc.support.SQLErrorCodes] defined in class path resource [org/springframework/jdbc/support/sql-error-codes.xml]]
DEBUG - 15:56:50 | Invoking BeanPostProcessors before instantiaion of bean 'MS-SQL'
DEBUG - 15:56:50 | Using cached introspection results for class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDatabaseProductName(java.lang.String)] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDatabaseProductName(java.lang.String)] with value [Microsoft SQL Server]
DEBUG - 15:56:50 | Converting String to [class [Ljava.lang.String;] using property editor [org.springframework.beans.propertyeditors.StringArrayPropertyEditor@15af049]
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setBadSqlGrammarCodes(java.lang.String[])] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.jdbc.support.SQLErrorCodes.setBadSqlGrammarCodes(java.lang.String[])] with value [[Ljava.lang.String;@1555185]
DEBUG - 15:56:50 | Converting String to [class [Ljava.lang.String;] using property editor [org.springframework.beans.propertyeditors.StringArrayPropertyEditor@15af049]
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDataIntegrityViolationCodes(java.lang.String[])] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDataIntegrityViolationCodes(java.lang.String[])] with value [[Ljava.lang.String;@5b28c9]
DEBUG - 15:56:50 | Invoking BeanPostProcessors before initialization of bean 'MS-SQL'
DEBUG - 15:56:50 | Invoking BeanPostProcessors after initialization of bean 'MS-SQL'
INFO - 15:56:50 | Creating shared instance of singleton bean 'MySQL'
DEBUG - 15:56:50 | Creating instance of bean 'MySQL' with merged definition [Root bean with class [org.springframework.jdbc.support.SQLErrorCodes] defined in class path resource [org/springframework/jdbc/support/sql-error-codes.xml]]
DEBUG - 15:56:50 | Invoking BeanPostProcessors before instantiaion of bean 'MySQL'
DEBUG - 15:56:50 | Using cached introspection results for class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Converting String to [class [Ljava.lang.String;] using property editor [org.springframework.beans.propertyeditors.StringArrayPropertyEditor@d2d58b]
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setBadSqlGrammarCodes(java.lang.String[])] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.jdbc.support.SQLErrorCodes.setBadSqlGrammarCodes(java.lang.String[])] with value [[Ljava.lang.String;@1c19919]
DEBUG - 15:56:50 | Converting String to [class [Ljava.lang.String;] using property editor [org.springframework.beans.propertyeditors.StringArrayPropertyEditor@d2d58b]
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDataIntegrityViolationCodes(java.lang.String[])] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
DEBUG - 15:56:50 | Invoked write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDataIntegrityViolationCodes(java.lang.String[])] with value [[Ljava.lang.String;@12a416a]
DEBUG - 15:56:50 | Converting String to [class [Ljava.lang.String;] using property editor [org.springframework.beans.propertyeditors.StringArrayPropertyEditor@d2d58b]
DEBUG - 15:56:50 | About to invoke write method [public void org.springframework.jdbc.support.SQLErrorCodes.setDeadlockLoserCodes(java.lang.String[])] on object of class [org.springframework.jdbc.support.SQLErrorCodes]
