DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.projectDetailsHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.resultDetailsHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.assayDetailsHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.reagentDetailsHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.runDetailsHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.resultListHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.testDetailsHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.sampleDetailsHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.patientDetailsHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.sampleIdListHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.sampleIdMapHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.containerDetailsHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.successLoginHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.deleteTestHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.deleteRunHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.deleteAssayHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.deleteResultHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.deleteReagentHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.deleteSampleHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.deleteAllSamplesInContainerHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.deleteProjectHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.deleteContainerHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws javax.servlet.ServletException]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.emptyContainerHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception]
DEBUG - 15:56:57 | Found action method [public org.springframework.web.servlet.ModelAndView agtc.sampletracking.web.controller.StsController.shuffleSamplesInContainerHandler(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception]
DEBUG - 15:56:57 | Found action method [public final org.springframework.web.servlet.ModelAndView org.springframework.web.servlet.mvc.AbstractController.handleRequest(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception]
DEBUG - 15:57:22 | Displaying new form
DEBUG - 15:57:22 | Creating new command of class [agtc.sampletracking.web.command.LoginFormCommand]
DEBUG - 15:57:26 | Displaying new form
DEBUG - 15:57:26 | Setting form session attribute [agtc.sampletracking.web.controller.ContainersSearchController.FORM.command] to: null null null
DEBUG - 15:57:56 | container ID set to :131
DEBUG - 15:59:25 | Displaying new form
DEBUG - 15:59:25 | Setting form session attribute [agtc.sampletracking.web.controller.ContainersSearchController.FORM.command] to: null null null
DEBUG - 15:59:38 | Displaying new form
